epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.03739,3.51769,5.56276,4.25555,0,0,0,0,3.37993,5.96589,4.15894,0,0,0
2,6.75714,3.31181,5.64206,4.29409,0,0,0,0,3.37999,5.96573,4.159,9.5438e-07,9.5438e-07,9.5438e-07
3,8.64435,3.10804,5.65477,4.22406,0,0,0,0,3.38005,5.96557,4.15907,1.43752e-06,1.43752e-06,1.43752e-06
4,10.3198,3.1998,5.60555,4.4269,0,0,0,0,3.38011,5.96552,4.15913,1.44942e-06,1.44942e-06,1.44942e-06
5,11.9795,3.43901,5.5097,4.30544,0,0,0,0,3.38018,5.96541,4.1592,9.9008e-07,9.9008e-07,9.9008e-07
